No.,Year,Nest Code,HOBO Code,Treatment,SCL (cm)
1,2019,7,,in situ,4.78
2,2019,7,,in situ,4.817
3,2019,7,,in situ,4.739
4,2019,7,,in situ,4.8
5,2019,7,,in situ,5.022
6,2019,7,,in situ,5.053
7,2019,7,,in situ,4.99
8,2019,7,,in situ,4.904
9,2019,7,,in situ,4.918
10,2019,7,,in situ,4.79
11,2019,7,,in situ,4.901
12,2019,7,,in situ,4.727
13,2019,7,,in situ,4.965
14,2019,7,,in situ,4.659
15,2019,7,,in situ,4.815
16,2019,7,,in situ,4.891
17,2019,7,,in situ,4.88
18,2019,7,,in situ,4.867
19,2019,7,,in situ,4.959
20,2019,7,,in situ,4.757
21,2019,7,,in situ,4.755
22,2019,7,,in situ,4.956
23,2019,7,,in situ,4.838
24,2019,7,,in situ,4.979
25,2019,7,,in situ,4.808
26,2019,7,,in situ,4.947
27,2019,7,,in situ,4.89
28,2019,7,,in situ,4.9
29,2019,7,,in situ,4.825
30,2019,7,,in situ,4.899
31,2019,7,,in situ,4.998
32,2019,7,,in situ,4.888
33,2019,7,,in situ,4.92
34,2019,7,,in situ,4.992
35,2019,7,,in situ,4.954
36,2019,7,,in situ,5.004
37,2019,7,,in situ,4.807
38,2019,7,,in situ,4.787
39,2019,7,,in situ,4.958
40,2019,7,,in situ,4.902
41,2019,7,,in situ,4.681
42,2019,7,,in situ,4.937
43,2019,7,,in situ,4.992
44,2019,7,,in situ,4.869
45,2019,7,,in situ,5.058
46,2019,7,,in situ,4.808
47,2019,7,,in situ,5.049
48,2019,7,,in situ,5.219
49,2019,7,,in situ,4.922
50,2019,7,,in situ,4.982
51,2019,7,,in situ,4.9
52,2019,7,,in situ,4.89
53,2019,7,,in situ,4.741
54,2019,7,,in situ,4.879
55,2019,7,,in situ,4.715
56,2019,7,,in situ,4.787
57,2019,7,,in situ,4.919
58,2019,7,,in situ,4.708
59,2019,7,,in situ,4.993
60,2019,7,,in situ,4.93
61,2019,7,,in situ,4.965
62,2019,7,,in situ,4.855
63,2019,7,,in situ,4.978
64,2019,7,,in situ,4.951
65,2019,7,,in situ,4.902
66,2019,7,,in situ,4.701
67,2019,7,,in situ,4.728
68,2019,7,,in situ,5.046
69,2019,7,,in situ,4.917
70,2019,7,,in situ,5.061
71,2019,7,,in situ,4.846
72,2019,7,,in situ,4.706
73,2019,7,,in situ,4.881
74,2019,7,,in situ,4.748
75,2019,7,,in situ,4.891
76,2019,7,,in situ,4.994
77,2019,7,,in situ,4.925
78,2019,7,,in situ,4.878
79,2019,7,,in situ,4.785
80,2019,7,,in situ,4.854
81,2019,7,,in situ,4.971
82,2019,7,,in situ,4.78
83,2019,7,,in situ,4.737
84,2019,7,,in situ,4.871
85,2019,7,,in situ,4.884
86,2019,7,,in situ,4.786
87,2019,7,,in situ,4.849
88,2019,7,,in situ,4.707
89,2019,8,,in situ,5.231
90,2019,8,,in situ,5.397
91,2019,8,,in situ,5.095
92,2019,8,,in situ,5.246
93,2019,8,,in situ,5.308
94,2019,8,,in situ,5.304
95,2019,8,,in situ,5.144
96,2019,8,,in situ,5.174
97,2019,8,,in situ,5.288
98,2019,8,,in situ,5.286
99,2019,8,,in situ,5.176
100,2019,8,,in situ,5.053
