Property,Date,Time,Temeperature
27,26/12/2019,11:00:00 PM,29.45
28,27/12/2019,12:00:00 AM,29.46
29,27/12/2019,1:00:00 AM,29.47
30,27/12/2019,2:00:00 AM,29.47
31,27/12/2019,3:00:00 AM,29.47
32,27/12/2019,4:00:00 AM,29.47
33,27/12/2019,5:00:00 AM,29.46
34,27/12/2019,6:00:00 AM,29.46
35,27/12/2019,7:00:00 AM,29.46
36,27/12/2019,8:00:00 AM,29.46
37,27/12/2019,9:00:00 AM,29.46
38,27/12/2019,10:00:00 AM,29.46
39,27/12/2019,11:00:00 AM,29.46
40,27/12/2019,12:00:00 PM,29.46
41,27/12/2019,1:00:00 PM,29.46
42,27/12/2019,2:00:00 PM,29.46
43,27/12/2019,3:00:00 PM,29.47
44,27/12/2019,4:00:00 PM,29.47
45,27/12/2019,5:00:00 PM,29.47
46,27/12/2019,6:00:00 PM,29.47
47,27/12/2019,7:00:00 PM,29.47
48,27/12/2019,8:00:00 PM,29.48
49,27/12/2019,9:00:00 PM,29.48
50,27/12/2019,10:00:00 PM,29.48
51,27/12/2019,11:00:00 PM,29.48
52,28/12/2019,12:00:00 AM,29.48
53,28/12/2019,1:00:00 AM,29.49
54,28/12/2019,2:00:00 AM,29.49
55,28/12/2019,3:00:00 AM,29.49
56,28/12/2019,4:00:00 AM,29.49
57,28/12/2019,5:00:00 AM,29.49
58,28/12/2019,6:00:00 AM,29.50
59,28/12/2019,7:00:00 AM,29.50
60,28/12/2019,8:00:00 AM,29.50
61,28/12/2019,9:00:00 AM,29.51
62,28/12/2019,10:00:00 AM,29.51
63,28/12/2019,11:00:00 AM,29.52
64,28/12/2019,12:00:00 PM,29.52
65,28/12/2019,1:00:00 PM,29.53
66,28/12/2019,2:00:00 PM,29.53
67,28/12/2019,3:00:00 PM,29.54
68,28/12/2019,4:00:00 PM,29.54
69,28/12/2019,5:00:00 PM,29.55
70,28/12/2019,6:00:00 PM,29.56
71,28/12/2019,7:00:00 PM,29.56
72,28/12/2019,8:00:00 PM,29.57
73,28/12/2019,9:00:00 PM,29.57
74,28/12/2019,10:00:00 PM,29.58
75,28/12/2019,11:00:00 PM,29.58
76,29/12/2019,12:00:00 AM,29.59
77,29/12/2019,1:00:00 AM,29.60
78,29/12/2019,2:00:00 AM,29.60
79,29/12/2019,3:00:00 AM,29.61
80,29/12/2019,4:00:00 AM,29.61
81,29/12/2019,5:00:00 AM,29.62
82,29/12/2019,6:00:00 AM,29.63
83,29/12/2019,7:00:00 AM,29.63
84,29/12/2019,8:00:00 AM,29.64
85,29/12/2019,9:00:00 AM,29.65
86,29/12/2019,10:00:00 AM,29.66
87,29/12/2019,11:00:00 AM,29.66
88,29/12/2019,12:00:00 PM,29.67
89,29/12/2019,1:00:00 PM,29.68
90,29/12/2019,2:00:00 PM,29.69
91,29/12/2019,3:00:00 PM,29.70
92,29/12/2019,4:00:00 PM,29.71
93,29/12/2019,5:00:00 PM,29.71
94,29/12/2019,6:00:00 PM,29.72
95,29/12/2019,7:00:00 PM,29.73
96,29/12/2019,8:00:00 PM,29.74
97,29/12/2019,9:00:00 PM,29.74
98,29/12/2019,10:00:00 PM,29.75
99,29/12/2019,11:00:00 PM,29.76
100,30/12/2019,12:00:00 AM,29.76
101,30/12/2019,1:00:00 AM,29.77
102,30/12/2019,2:00:00 AM,29.78
103,30/12/2019,3:00:00 AM,29.79
104,30/12/2019,4:00:00 AM,29.79
105,30/12/2019,5:00:00 AM,29.80
106,30/12/2019,6:00:00 AM,29.81
107,30/12/2019,7:00:00 AM,29.81
108,30/12/2019,8:00:00 AM,29.82
109,30/12/2019,9:00:00 AM,29.83
110,30/12/2019,10:00:00 AM,29.84
111,30/12/2019,11:00:00 AM,29.85
112,30/12/2019,12:00:00 PM,29.86
113,30/12/2019,1:00:00 PM,29.87
114,30/12/2019,2:00:00 PM,29.87
115,30/12/2019,3:00:00 PM,29.88
116,30/12/2019,4:00:00 PM,29.89
117,30/12/2019,5:00:00 PM,29.90
118,30/12/2019,6:00:00 PM,29.91
119,30/12/2019,7:00:00 PM,29.91
120,30/12/2019,8:00:00 PM,29.92
121,30/12/2019,9:00:00 PM,29.93
122,30/12/2019,10:00:00 PM,29.94
123,30/12/2019,11:00:00 PM,29.94
124,31/12/2019,12:00:00 AM,29.95
125,31/12/2019,1:00:00 AM,29.96
126,31/12/2019,2:00:00 AM,29.96
127,31/12/2019,3:00:00 AM,29.97
128,31/12/2019,4:00:00 AM,29.97
129,31/12/2019,5:00:00 AM,29.98
130,31/12/2019,6:00:00 AM,29.99
