Property,Date,Time,Temperature
55,28/12/2019,3:00:00 AM,29.87
56,28/12/2019,4:00:00 AM,29.82
57,28/12/2019,5:00:00 AM,29.76
58,28/12/2019,6:00:00 AM,29.72
59,28/12/2019,7:00:00 AM,29.69
60,28/12/2019,8:00:00 AM,29.67
61,28/12/2019,9:00:00 AM,29.66
62,28/12/2019,10:00:00 AM,29.66
63,28/12/2019,11:00:00 AM,29.66
64,28/12/2019,12:00:00 PM,29.65
65,28/12/2019,1:00:00 PM,29.66
66,28/12/2019,2:00:00 PM,29.66
67,28/12/2019,3:00:00 PM,29.66
68,28/12/2019,4:00:00 PM,29.66
69,28/12/2019,5:00:00 PM,29.66
70,28/12/2019,6:00:00 PM,29.66
71,28/12/2019,7:00:00 PM,29.66
72,28/12/2019,8:00:00 PM,29.66
73,28/12/2019,9:00:00 PM,29.66
74,28/12/2019,10:00:00 PM,29.66
75,28/12/2019,11:00:00 PM,29.67
76,29/12/2019,12:00:00 AM,29.67
77,29/12/2019,1:00:00 AM,29.67
78,29/12/2019,2:00:00 AM,29.68
79,29/12/2019,3:00:00 AM,29.68
80,29/12/2019,4:00:00 AM,29.69
81,29/12/2019,5:00:00 AM,29.70
82,29/12/2019,6:00:00 AM,29.71
83,29/12/2019,7:00:00 AM,29.71
84,29/12/2019,8:00:00 AM,29.72
85,29/12/2019,9:00:00 AM,29.73
86,29/12/2019,10:00:00 AM,29.74
87,29/12/2019,11:00:00 AM,29.75
88,29/12/2019,12:00:00 PM,29.76
89,29/12/2019,1:00:00 PM,29.77
90,29/12/2019,2:00:00 PM,29.78
91,29/12/2019,3:00:00 PM,29.79
92,29/12/2019,4:00:00 PM,29.80
93,29/12/2019,5:00:00 PM,29.81
94,29/12/2019,6:00:00 PM,29.81
95,29/12/2019,7:00:00 PM,29.82
96,29/12/2019,8:00:00 PM,29.82
97,29/12/2019,9:00:00 PM,29.83
98,29/12/2019,10:00:00 PM,29.84
99,29/12/2019,11:00:00 PM,29.84
100,30/12/2019,12:00:00 AM,29.85
101,30/12/2019,1:00:00 AM,29.85
102,30/12/2019,2:00:00 AM,29.86
103,30/12/2019,3:00:00 AM,29.87
104,30/12/2019,4:00:00 AM,29.88
105,30/12/2019,5:00:00 AM,29.88
106,30/12/2019,6:00:00 AM,29.89
107,30/12/2019,7:00:00 AM,29.90
108,30/12/2019,8:00:00 AM,29.91
109,30/12/2019,9:00:00 AM,29.92
110,30/12/2019,10:00:00 AM,29.93
111,30/12/2019,11:00:00 AM,29.94
112,30/12/2019,12:00:00 PM,29.95
113,30/12/2019,1:00:00 PM,29.96
114,30/12/2019,2:00:00 PM,29.97
115,30/12/2019,3:00:00 PM,29.98
116,30/12/2019,4:00:00 PM,29.99
117,30/12/2019,5:00:00 PM,29.99
118,30/12/2019,6:00:00 PM,30.00
119,30/12/2019,7:00:00 PM,30.01
120,30/12/2019,8:00:00 PM,30.01
121,30/12/2019,9:00:00 PM,30.02
122,30/12/2019,10:00:00 PM,30.02
123,30/12/2019,11:00:00 PM,30.03
124,31/12/2019,12:00:00 AM,30.03
125,31/12/2019,1:00:00 AM,30.04
126,31/12/2019,2:00:00 AM,30.04
127,31/12/2019,3:00:00 AM,30.05
128,31/12/2019,4:00:00 AM,30.06
129,31/12/2019,5:00:00 AM,30.07
130,31/12/2019,6:00:00 AM,30.07
131,31/12/2019,7:00:00 AM,30.08
