No.;Year;Nest Code;HOBO Code;Treatment;Date Nesting;Number of  nests
1;2015;;;In situ;12/28/2015;1
2;2016;;;In situ;1/8/2016;1
3;2016;;;In situ;1/11/2016;1
4;2016;;;In situ;1/21/2016;1
5;2016;;;In situ;1/25/2016;1
6;2016;;;In situ;2/1/2016;1
7;2016;;;In situ;2/2/2016;1
8;2016;;;In situ;2/5/2016;1
9;2016;;;In situ;2/10/2016;2
10;2016;;;In situ;2/11/2016;1
11;2016;;;In situ;2/12/2016;1
12;2016;;;In situ;2/14/2016;2
13;2016;;;In situ;2/16/2016;1
14;2016;;;In situ;2/17/2016;1
15;2016;;;In situ;2/23/2016;3
16;2016;;;In situ;2/24/2016;1
17;2016;;;In situ;2/26/2016;2
18;2016;;;In situ;2/27/2016;2
19;2016;;;In situ;2/28/2016;1
20;2016;;;In situ;3/1/2016;1
21;2016;;;In situ;3/5/2016;2
22;2016;;;In situ;3/6/2016;2
23;2016;;;In situ;3/8/2016;1
24;2016;;;In situ;3/9/2016;4
25;2016;;;In situ;3/10/2016;1
26;2016;;;In situ;3/11/2016;1
27;2016;;;In situ;3/12/2016;1
28;2016;;;In situ;3/15/2016;1
29;2016;;;In situ;3/16/2016;2
30;2016;;;In situ;3/17/2016;1
31;2016;;;In situ;3/18/2016;1
32;2016;;;In situ;3/19/2016;1
33;2016;;;In situ;3/20/2016;1
34;2016;;;In situ;3/21/2016;2
35;2016;;;In situ;3/24/2016;1
36;2016;;;In situ;3/26/2016;2
37;2016;;;In situ;3/27/2016;1
38;2016;;;In situ;3/28/2016;1
39;2016;;;In situ;3/29/2016;2
40;2016;;;In situ;3/30/2016;1
41;2016;;;In situ;4/2/2016;1
42;2016;;;In situ;4/4/2016;1
43;2016;;;In situ;4/5/2016;1
44;2016;;;In situ;4/6/2016;1
45;2016;;;In situ;4/8/2016;1
46;2016;;;In situ;4/9/2016;2
47;2016;;;In situ;4/16/2016;1
48;2016;;;In situ;4/18/2016;2
49;2016;;;In situ;4/20/2016;1
50;2016;;;In situ;4/21/2016;1
51;2016;;;In situ;5/2/2016;1
52;2016;;;In situ;5/3/2016;1
53;2016;;;In situ;5/14/2016;1
54;2016;;;In situ;5/15/2016;1
55;2016;;;In situ;12/24/2016;1
56;2017;;;In situ;1/2/2017;1
57;2017;;;In situ;1/3/2017;1
58;2017;;;In situ;1/6/2017;1
59;2017;;;In situ;1/7/2017;1
60;2017;;;In situ;1/9/2017;1
61;2017;;;In situ;1/11/2017;1
62;2017;;;In situ;1/12/2017;1
63;2017;;;In situ;1/14/2017;2
64;2017;;;In situ;1/15/2017;1
65;2017;;;In situ;1/17/2017;4
66;2017;;;In situ;1/19/2017;1
67;2017;;;In situ;1/20/2017;2
68;2017;;;In situ;1/21/2017;1
69;2017;;;In situ;1/22/2017;1
70;2017;;;In situ;1/23/2017;2
71;2017;;;In situ;1/24/2017;1
72;2017;;;In situ;1/25/2017;4
73;2017;;;In situ;1/26/2017;2
74;2017;;;In situ;1/28/2017;2
75;2017;;;In situ;1/29/2017;3
76;2017;;;In situ;1/30/2017;3
77;2017;;;In situ;2/2/2017;4
78;2017;;;In situ;2/3/2017;2
79;2017;;;In situ;2/5/2017;1
80;2017;;;In situ;2/6/2017;2
81;2017;;;In situ;2/7/2017;1
82;2017;;;In situ;2/8/2017;1
83;2017;;;In situ;2/9/2017;1
84;2017;;;In situ;2/10/2017;3
85;2017;;;In situ;2/11/2017;4
86;2017;;;In situ;2/12/2017;2
87;2017;;;In situ;2/13/2017;2
88;2017;;;In situ;2/14/2017;1
89;2017;;;In situ;2/15/2017;3
90;2017;;;In situ;2/16/2017;1
91;2017;;;In situ;2/17/2017;2
92;2017;;;In situ;2/18/2017;1
93;2017;;;In situ;2/19/2017;4
94;2017;;;In situ;2/20/2017;2
95;2017;;;In situ;2/21/2017;4
96;2017;;;In situ;2/22/2017;2
97;2017;;;In situ;2/23/2017;1
98;2017;;;In situ;2/24/2017;4
99;2017;;;In situ;2/25/2017;1
100;2017;;;In situ;2/26/2017;2
101;2017;;;In situ;2/27/2017;1
102;2017;;;In situ;2/28/2017;3
103;2017;;;In situ;3/1/2017;1
104;2017;;;In situ;3/2/2017;5
105;2017;;;In situ;3/3/2017;3
106;2017;;;In situ;3/4/2017;3
107;2017;;;In situ;3/5/2017;2
108;2017;;;In situ;3/6/2017;4
109;2017;;;In situ;3/7/2017;2
110;2017;;;In situ;3/8/2017;2
111;2017;;;In situ;3/9/2017;5
112;2017;;;In situ;3/10/2017;1
113;2017;;;In situ;3/11/2017;3
114;2017;;;In situ;3/12/2017;3
115;2017;;;In situ;3/13/2017;2
116;2017;;;In situ;3/14/2017;2
117;2017;;;In situ;3/15/2017;1
118;2017;;;In situ;3/16/2017;5
119;2017;;;In situ;3/17/2017;4
120;2017;;;In situ;3/18/2017;2
121;2017;;;In situ;3/19/2017;1
122;2017;;;In situ;3/20/2017;5
123;2017;;;In situ;3/21/2017;4
124;2017;;;In situ;3/22/2017;3
125;2017;;;In situ;3/23/2017;5
126;2017;;;In situ;3/24/2017;1
127;2017;;;In situ;3/25/2017;4
128;2017;;;In situ;3/26/2017;1
129;2017;;;In situ;3/27/2017;6
130;2017;;;In situ;3/29/2017;2
131;2017;;;In situ;3/30/2017;1
132;2017;;;In situ;3/31/2017;1
133;2017;;;In situ;4/2/2017;3
134;2017;;;In situ;4/3/2017;1
135;2017;;;In situ;4/4/2017;2
136;2017;;;In situ;4/5/2017;3
137;2017;;;In situ;4/6/2017;1
138;2017;;;In situ;4/7/2017;5
139;2017;;;In situ;4/9/2017;2
140;2017;;;In situ;4/11/2017;1
141;2017;;;In situ;4/14/2017;1
142;2017;;;In situ;4/15/2017;1
143;2017;;;In situ;4/16/2017;2
144;2017;;;In situ;4/18/2017;2
145;2017;;;In situ;4/19/2017;3
146;2017;;;In situ;4/26/2017;1
147;2017;;;In situ;4/28/2017;1
148;2017;;;In situ;4/29/2017;1
149;2017;;;In situ;5/2/2017;1
150;2017;;;In situ;5/11/2017;1
151;2017;;;In situ;5/22/2017;1
152;2017;;;In situ;5/24/2017;1
153;2018;;;In situ;1/1/2018;1
154;2018;;;In situ;1/7/2018;1
155;2018;;;In situ;1/15/2018;1
156;2018;;;In situ;1/20/2018;1
157;2018;;;In situ;1/21/2018;1
158;2018;;;In situ;1/28/2018;1
159;2018;;;In situ;2/1/2018;1
160;2018;;;In situ;2/5/2018;1
161;2018;;;In situ;2/7/2018;1
162;2018;;;In situ;2/8/2018;1
163;2018;;;In situ;2/9/2018;1
164;2018;;;In situ;2/11/2018;2
165;2018;;;In situ;2/18/2018;1
166;2018;;;In situ;2/19/2018;2
167;2018;;;In situ;2/20/2018;1
168;2018;;;In situ;2/22/2018;2
169;2018;;;In situ;2/24/2018;1
170;2018;;;In situ;2/25/2018;2
171;2018;;;In situ;2/26/2018;1
172;2018;;;In situ;3/1/2018;1
173;2018;;;In situ;3/2/2018;3
174;2018;;;In situ;3/3/2018;1
175;2018;;;In situ;3/4/2018;2
176;2018;;;In situ;3/5/2018;3
177;2018;;;In situ;3/6/2018;1
178;2018;;;In situ;3/8/2018;1
179;2018;;;In situ;3/11/2018;3
180;2018;;;In situ;3/13/2018;1
181;2018;;;In situ;3/15/2018;2
182;2018;;;In situ;3/16/2018;1
183;2018;;;In situ;3/17/2018;1
184;2018;;;In situ;3/20/2018;1
185;2018;;;In situ;3/22/2018;1
186;2018;;;In situ;3/23/2018;1
187;2018;;;In situ;3/25/2018;2
188;2018;;;In situ;3/27/2018;1
189;2018;;;In situ;3/30/2018;1
190;2018;;;In situ;4/4/2018;3
191;2018;;;In situ;4/6/2018;1
192;2018;;;In situ;4/7/2018;2
193;2018;;;In situ;4/13/2018;1
194;2018;;;In situ;4/16/2018;1
195;2018;;;In situ;4/17/2018;1
196;2018;;;In situ;4/24/2018;1
197;2018;;;In situ;4/27/2018;1
198;2018;;;In situ;5/2/2018;1
199;2018;;;In situ;5/13/2018;1
200;2018;;;In situ;5/22/2018;1
201;2019;;;In situ;1/6/2019;1
202;2019;;;In situ;1/7/2019;1
203;2019;;;In situ;1/8/2019;1
204;2019;;;In situ;1/17/2019;1
205;2019;;;In situ;1/19/2019;2
206;2019;;;In situ;1/20/2019;1
207;2019;;;In situ;1/27/2019;1
208;2019;;;In situ;1/28/2019;2
209;2019;;;In situ;1/30/2019;3
210;2019;;;In situ;1/31/2019;1
211;2019;;;In situ;2/7/2019;1
212;2019;;;In situ;2/8/2019;1
213;2019;;;In situ;2/10/2019;3
214;2019;;;In situ;2/11/2019;4
215;2019;;;In situ;2/13/2019;2
216;2019;;;In situ;2/14/2019;2
217;2019;;;In situ;2/17/2019;1
218;2019;;;In situ;2/20/2019;1
219;2019;;;In situ;2/21/2019;3
220;2019;;;In situ;2/22/2019;4
221;2019;;;In situ;2/23/2019;1
222;2019;;;In situ;2/24/2019;1
223;2019;;;In situ;2/25/2019;1
224;2019;;;In situ;2/26/2019;2
225;2019;;;In situ;2/27/2019;2
226;2019;;;In situ;3/3/2019;3
227;2019;;;In situ;3/4/2019;2
228;2019;;;In situ;3/5/2019;1
229;2019;;;In situ;3/6/2019;1
230;2019;;;In situ;3/7/2019;2
231;2019;;;In situ;3/9/2019;1
232;2019;;;In situ;3/10/2019;3
233;2019;;;In situ;3/12/2019;1
234;2019;;;In situ;3/13/2019;1
235;2019;;;In situ;3/14/2019;3
236;2019;;;In situ;3/15/2019;1
237;2019;;;In situ;3/16/2019;2
238;2019;;;In situ;3/17/2019;2
239;2019;;;In situ;3/18/2019;2
240;2019;;;In situ;3/20/2019;3
241;2019;;;In situ;3/21/2019;1
242;2019;;;In situ;3/22/2019;1
243;2019;;;In situ;3/23/2019;2
244;2019;;;In situ;3/24/2019;4
245;2019;;;In situ;3/25/2019;1
246;2019;;;In situ;3/26/2019;2
247;2019;;;In situ;3/27/2019;4
248;2019;;;In situ;3/31/2019;2
249;2019;;;In situ;4/1/2019;1
250;2019;;;In situ;4/2/2019;3
