No.,Year,Nest Code,HOBO Code,Treatment,Date Nesting,Date Emersion,No. Eggs,No. Hatchlings,Hatching Success,No. Hatchlings Measured,Dead,unhatched
1,2019,7,896691,In situ,19-Dec-19,12-Feb-20,168,108,64.3,88,17,43
2,2019,8,895561,In situ,26-Dec-19,17-Feb-20,79,64,81,32,5,10
3,2019,9,895562,In situ,27-Dec-19,18-Feb-20,101,83,82.2,32,11,7
4,3109,10,896699,In situ,28-Dec-09,19-Feb-20,97,86,88.7,86,7,4
5,2020,12,896702,In situ,3-Jan-20,21-Feb-20,87,85,97.7,32,0,2
6,2020,13,896729,In situ,6-Jan-20,27-Feb-20,113,109,96.5,0,0,4
7,2020,14,896717,In situ,8-Jan-20,29-Feb-20,145,90,62.1,32,0,55
8,2020,15,896725,In situ,8-Jan-20,3-Mar-20,99,90,90.9,0,1,8
9,2020,16,896701,In situ,8-Jan-20,29-Feb-20,78,56,71.8,0,17,10
10,2020,17,896720,In situ,13-Jan-20,4-Mar-20,90,62,68.9,32,25,3
11,2020,18,896722,In situ,13-Jan-20,3-Mar-20,107,102,95.33,32,0,5
12,2020,20,881575,In situ,15-Jan-20,4-Mar-20,87,67,77.01,32,3,17
13,2020,21,896721,In situ,16-Jan-20,3-Mar-20,97,67,69.07,67,0,30
14,2020,22,896694,In situ,16-Jan-20,4-Mar-20,123,109,88.62,32,0,14
15,2020,23,880878,In situ,16-Jan-20,6-Mar-20,84,49,58.33,0,0,35
16,2020,24,896711,In situ,17-Jan-20,9-Mar-20,113,108,95.58,0,1,4
17,2020,25,881571,In situ,17-Jan-20,5-Mar-20,102,77,75.49,77,2,23
18,2020,26,896718,In situ,18-Jan-20,8-Mar-20,132,101,76.52,0,13,18
19,2020,27,896712,In situ,19-Jan-20,10-Mar-20,128,114,89.06,32,10,4
