"","temperature","datetime","datetime_UTC","time"
"1",29.23,"2020-01-16 23:00:00","2020-01-17 02:00:00",0
"2",30.01,"2020-01-17 00:00:00","2020-01-17 03:00:00",60
"3",30.18,"2020-01-17 01:00:00","2020-01-17 04:00:00",120
"4",30.27,"2020-01-17 02:00:00","2020-01-17 05:00:00",180
"5",30.33,"2020-01-17 03:00:00","2020-01-17 06:00:00",240
"6",30.37,"2020-01-17 04:00:00","2020-01-17 07:00:00",300
"7",30.4,"2020-01-17 05:00:00","2020-01-17 08:00:00",360
"8",30.41,"2020-01-17 06:00:00","2020-01-17 09:00:00",420
"9",30.42,"2020-01-17 07:00:00","2020-01-17 10:00:00",480
"10",30.43,"2020-01-17 08:00:00","2020-01-17 11:00:00",540
"11",30.43,"2020-01-17 09:00:00","2020-01-17 12:00:00",600
"12",30.43,"2020-01-17 10:00:00","2020-01-17 13:00:00",660
"13",30.42,"2020-01-17 11:00:00","2020-01-17 14:00:00",720
"14",30.42,"2020-01-17 12:00:00","2020-01-17 15:00:00",780
"15",30.41,"2020-01-17 13:00:00","2020-01-17 16:00:00",840
"16",30.4,"2020-01-17 14:00:00","2020-01-17 17:00:00",900
"17",30.39,"2020-01-17 15:00:00","2020-01-17 18:00:00",960
"18",30.38,"2020-01-17 16:00:00","2020-01-17 19:00:00",1020
"19",30.37,"2020-01-17 17:00:00","2020-01-17 20:00:00",1080
"20",30.37,"2020-01-17 18:00:00","2020-01-17 21:00:00",1140
"21",30.36,"2020-01-17 19:00:00","2020-01-17 22:00:00",1200
"22",30.36,"2020-01-17 20:00:00","2020-01-17 23:00:00",1260
"23",30.37,"2020-01-17 21:00:00","2020-01-18 00:00:00",1320
"24",30.37,"2020-01-17 22:00:00","2020-01-18 01:00:00",1380
"25",30.38,"2020-01-17 23:00:00","2020-01-18 02:00:00",1440
"26",30.39,"2020-01-18 00:00:00","2020-01-18 03:00:00",1500
"27",30.39,"2020-01-18 01:00:00","2020-01-18 04:00:00",1560
"28",30.4,"2020-01-18 02:00:00","2020-01-18 05:00:00",1620
"29",30.41,"2020-01-18 03:00:00","2020-01-18 06:00:00",1680
"30",30.41,"2020-01-18 04:00:00","2020-01-18 07:00:00",1740
"31",30.41,"2020-01-18 05:00:00","2020-01-18 08:00:00",1800
"32",30.42,"2020-01-18 06:00:00","2020-01-18 09:00:00",1860
"33",30.42,"2020-01-18 07:00:00","2020-01-18 10:00:00",1920
"34",30.41,"2020-01-18 08:00:00","2020-01-18 11:00:00",1980
"35",30.41,"2020-01-18 09:00:00","2020-01-18 12:00:00",2040
"36",30.4,"2020-01-18 10:00:00","2020-01-18 13:00:00",2100
"37",30.4,"2020-01-18 11:00:00","2020-01-18 14:00:00",2160
"38",30.39,"2020-01-18 12:00:00","2020-01-18 15:00:00",2220
"39",30.38,"2020-01-18 13:00:00","2020-01-18 16:00:00",2280
"40",30.37,"2020-01-18 14:00:00","2020-01-18 17:00:00",2340
"41",30.36,"2020-01-18 15:00:00","2020-01-18 18:00:00",2400
"42",30.35,"2020-01-18 16:00:00","2020-01-18 19:00:00",2460
"43",30.33,"2020-01-18 17:00:00","2020-01-18 20:00:00",2520
"44",30.32,"2020-01-18 18:00:00","2020-01-18 21:00:00",2580
