Season,Nest,Tinytag,Time,Temperature
1,7,896691,12/20/2019 01:00,28.647
1,7,896691,12/20/2019 02:00,30.227
1,7,896691,12/20/2019 03:00,30.192
1,7,896691,12/20/2019 04:00,30.132
1,7,896691,12/20/2019 05:00,30.082
1,7,896691,12/20/2019 06:00,30.041
1,7,896691,12/20/2019 07:00,30.003
1,7,896691,12/20/2019 08:00,29.969
1,7,896691,12/20/2019 09:00,29.937
1,7,896691,12/20/2019 10:00,29.905
1,7,896691,12/20/2019 11:00,29.875
1,7,896691,12/20/2019 12:00,29.847
1,7,896691,12/20/2019 13:00,29.822
1,7,896691,12/20/2019 14:00,29.797
1,7,896691,12/20/2019 15:00,29.773
1,7,896691,12/20/2019 16:00,29.749
1,7,896691,12/20/2019 17:00,29.728
1,7,896691,12/20/2019 18:00,29.708
1,7,896691,12/20/2019 19:00,29.689
1,7,896691,12/20/2019 20:00,29.67
1,7,896691,12/20/2019 21:00,29.652
1,7,896691,12/20/2019 22:00,29.637
1,7,896691,12/20/2019 23:00,29.622
1,7,896691,12/21/2019 00:00,29.607
1,7,896691,12/21/2019 01:00,29.595
1,7,896691,12/21/2019 02:00,29.583
1,7,896691,12/21/2019 03:00,29.572
1,7,896691,12/21/2019 04:00,29.563
1,7,896691,12/21/2019 05:00,29.554
1,7,896691,12/21/2019 06:00,29.548
1,7,896691,12/21/2019 07:00,29.54
1,7,896691,12/21/2019 08:00,29.534
1,7,896691,12/21/2019 09:00,29.53
1,7,896691,12/21/2019 10:00,29.525
1,7,896691,12/21/2019 11:00,29.521
1,7,896691,12/21/2019 12:00,29.516
1,7,896691,12/21/2019 13:00,29.513
1,7,896691,12/21/2019 14:00,29.509
1,7,896691,12/21/2019 15:00,29.506
1,7,896691,12/21/2019 16:00,29.503
1,7,896691,12/21/2019 17:00,29.5
1,7,896691,12/21/2019 18:00,29.497
1,7,896691,12/21/2019 19:00,29.494
1,7,896691,12/21/2019 20:00,29.491
