Season,Nest,Tinytag,Time,Temperature,First emergence
2,5,896711,1/14/2021 20:00,27.848,
2,5,896711,1/14/2021 21:00,27.591,
2,5,896711,1/14/2021 22:00,27.701,
2,5,896711,1/14/2021 23:00,27.347,
2,5,896711,1/15/2021 0:00,27.054,
2,5,896711,1/15/2021 1:00,26.317,
2,5,896711,1/15/2021 2:00,26.367,
2,5,896711,1/15/2021 3:00,26.506,
2,5,896711,1/15/2021 4:00,25.885,
2,5,896711,1/15/2021 5:00,23.867,
2,5,896711,1/15/2021 6:00,22.7,
2,5,896711,1/15/2021 7:00,22.038,
2,5,896711,1/15/2021 8:00,21.26,
2,5,896711,1/15/2021 9:00,20.423,
2,5,896711,1/15/2021 10:00,20.062,
2,5,896711,1/15/2021 11:00,20.081,
2,5,896711,1/15/2021 12:00,20.456,
2,5,896711,1/15/2021 13:00,20.661,
2,5,896711,1/15/2021 14:00,20.848,
2,5,896711,1/15/2021 15:00,21.048,
2,5,896711,1/15/2021 16:00,21.424,
2,5,896711,1/15/2021 17:00,22.019,
2,5,896711,1/15/2021 18:00,24.154,
2,5,896711,1/15/2021 19:00,25.59,
2,5,896711,1/15/2021 20:00,27.255,
2,5,896711,1/15/2021 21:00,26.386,
2,5,896711,1/15/2021 22:00,26.637,
2,5,896711,1/15/2021 23:00,30.073,
2,5,896711,1/16/2021 0:00,30.412,
2,5,896711,1/16/2021 1:00,30.592,
2,5,896711,1/16/2021 2:00,30.729,
2,5,896711,1/16/2021 3:00,30.836,
2,5,896711,1/16/2021 4:00,30.92,
2,5,896711,1/16/2021 5:00,30.988,
2,5,896711,1/16/2021 6:00,31.044,
2,5,896711,1/16/2021 7:00,31.092,
2,5,896711,1/16/2021 8:00,31.129,
2,5,896711,1/16/2021 9:00,31.161,
2,5,896711,1/16/2021 10:00,31.187,
2,5,896711,1/16/2021 11:00,31.208,
2,5,896711,1/16/2021 12:00,31.227,
2,5,896711,1/16/2021 13:00,31.241,
2,5,896711,1/16/2021 14:00,31.253,
2,5,896711,1/16/2021 15:00,31.262,
2,5,896711,1/16/2021 16:00,31.27,
2,5,896711,1/16/2021 17:00,31.276,
2,5,896711,1/16/2021 18:00,31.282,
2,5,896711,1/16/2021 19:00,31.288,
2,5,896711,1/16/2021 20:00,31.297,
2,5,896711,1/16/2021 21:00,31.305,
2,5,896711,1/16/2021 22:00,31.316,
2,5,896711,1/16/2021 23:00,31.327,
2,5,896711,1/17/2021 0:00,31.34,
2,5,896711,1/17/2021 1:00,31.353,
2,5,896711,1/17/2021 2:00,31.366,
2,5,896711,1/17/2021 3:00,31.38,
2,5,896711,1/17/2021 4:00,31.394,
2,5,896711,1/17/2021 5:00,31.406,
2,5,896711,1/17/2021 6:00,31.419,
2,5,896711,1/17/2021 7:00,31.43,
2,5,896711,1/17/2021 8:00,31.439,
2,5,896711,1/17/2021 9:00,31.448,
2,5,896711,1/17/2021 10:00,31.454,
2,5,896711,1/17/2021 11:00,31.459,
2,5,896711,1/17/2021 12:00,31.463,
2,5,896711,1/17/2021 13:00,31.465,
2,5,896711,1/17/2021 14:00,31.465,
2,5,896711,1/17/2021 15:00,31.465,
2,5,896711,1/17/2021 16:00,31.465,
2,5,896711,1/17/2021 17:00,31.463,
2,5,896711,1/17/2021 18:00,31.462,
2,5,896711,1/17/2021 19:00,31.462,
2,5,896711,1/17/2021 20:00,31.462,
2,5,896711,1/17/2021 21:00,31.463,
2,5,896711,1/17/2021 22:00,31.465,
2,5,896711,1/17/2021 23:00,31.47,
2,5,896711,1/18/2021 0:00,31.474,
2,5,896711,1/18/2021 1:00,31.48,
2,5,896711,1/18/2021 2:00,31.485,
2,5,896711,1/18/2021 3:00,31.493,
2,5,896711,1/18/2021 4:00,31.499,
2,5,896711,1/18/2021 5:00,31.506,
2,5,896711,1/18/2021 6:00,31.511,
2,5,896711,1/18/2021 7:00,31.514,
2,5,896711,1/18/2021 8:00,31.517,
2,5,896711,1/18/2021 9:00,31.52,
2,5,896711,1/18/2021 10:00,31.522,
2,5,896711,1/18/2021 11:00,31.522,
2,5,896711,1/18/2021 12:00,31.522,
2,5,896711,1/18/2021 13:00,31.519,
2,5,896711,1/18/2021 14:00,31.516,
2,5,896711,1/18/2021 15:00,31.511,
2,5,896711,1/18/2021 16:00,31.508,
2,5,896711,1/18/2021 17:00,31.502,
2,5,896711,1/18/2021 18:00,31.497,
2,5,896711,1/18/2021 19:00,31.494,
2,5,896711,1/18/2021 20:00,31.491,
2,5,896711,1/18/2021 21:00,31.49,
2,5,896711,1/18/2021 22:00,31.49,
2,5,896711,1/18/2021 23:00,31.491,
2,5,896711,1/19/2021 0:00,31.493,
2,5,896711,1/19/2021 1:00,31.497,
2,5,896711,1/19/2021 2:00,31.502,
2,5,896711,1/19/2021 3:00,31.508,
2,5,896711,1/19/2021 4:00,31.513,
2,5,896711,1/19/2021 5:00,31.519,
2,5,896711,1/19/2021 6:00,31.522,
2,5,896711,1/19/2021 7:00,31.526,
2,5,896711,1/19/2021 8:00,31.53,
2,5,896711,1/19/2021 9:00,31.531,
2,5,896711,1/19/2021 10:00,31.533,
2,5,896711,1/19/2021 11:00,31.533,
2,5,896711,1/19/2021 12:00,31.531,
2,5,896711,1/19/2021 13:00,31.53,
2,5,896711,1/19/2021 14:00,31.526,
2,5,896711,1/19/2021 15:00,31.522,
2,5,896711,1/19/2021 16:00,31.517,
2,5,896711,1/19/2021 17:00,31.511,
2,5,896711,1/19/2021 18:00,31.506,
2,5,896711,1/19/2021 19:00,31.502,
2,5,896711,1/19/2021 20:00,31.499,
2,5,896711,1/19/2021 21:00,31.497,
2,5,896711,1/19/2021 22:00,31.499,
2,5,896711,1/19/2021 23:00,31.5,
2,5,896711,1/20/2021 0:00,31.503,
2,5,896711,1/20/2021 1:00,31.51,
2,5,896711,1/20/2021 2:00,31.516,
2,5,896711,1/20/2021 3:00,31.522,
2,5,896711,1/20/2021 4:00,31.528,
2,5,896711,1/20/2021 5:00,31.534,
2,5,896711,1/20/2021 6:00,31.539,
2,5,896711,1/20/2021 7:00,31.542,
2,5,896711,1/20/2021 8:00,31.545,
2,5,896711,1/20/2021 9:00,31.546,
2,5,896711,1/20/2021 10:00,31.548,
2,5,896711,1/20/2021 11:00,31.546,
2,5,896711,1/20/2021 12:00,31.545,
2,5,896711,1/20/2021 13:00,31.54,
2,5,896711,1/20/2021 14:00,31.539,
2,5,896711,1/20/2021 15:00,31.531,
2,5,896711,1/20/2021 16:00,31.525,
2,5,896711,1/20/2021 17:00,31.52,
2,5,896711,1/20/2021 18:00,31.517,
2,5,896711,1/20/2021 19:00,31.514,
2,5,896711,1/20/2021 20:00,31.516,
2,5,896711,1/20/2021 21:00,31.519,
2,5,896711,1/20/2021 22:00,31.526,
2,5,896711,1/20/2021 23:00,31.536,
2,5,896711,1/21/2021 0:00,31.545,
2,5,896711,1/21/2021 1:00,31.557,
2,5,896711,1/21/2021 2:00,31.568,
2,5,896711,1/21/2021 3:00,31.579,
2,5,896711,1/21/2021 4:00,31.59,
2,5,896711,1/21/2021 5:00,31.599,
2,5,896711,1/21/2021 6:00,31.607,
2,5,896711,1/21/2021 7:00,31.611,
2,5,896711,1/21/2021 8:00,31.616,
2,5,896711,1/21/2021 9:00,31.617,
2,5,896711,1/21/2021 10:00,31.616,
2,5,896711,1/21/2021 11:00,31.614,
2,5,896711,1/21/2021 12:00,31.611,
2,5,896711,1/21/2021 13:00,31.608,
2,5,896711,1/21/2021 14:00,31.6,
2,5,896711,1/21/2021 15:00,31.593,
2,5,896711,1/21/2021 16:00,31.586,
2,5,896711,1/21/2021 17:00,31.579,
2,5,896711,1/21/2021 18:00,31.573,
2,5,896711,1/21/2021 19:00,31.571,
2,5,896711,1/21/2021 20:00,31.571,
2,5,896711,1/21/2021 21:00,31.571,
2,5,896711,1/21/2021 22:00,31.579,
2,5,896711,1/21/2021 23:00,31.586,
2,5,896711,1/22/2021 0:00,31.596,
2,5,896711,1/22/2021 1:00,31.607,
2,5,896711,1/22/2021 2:00,31.616,
2,5,896711,1/22/2021 3:00,31.628,
2,5,896711,1/22/2021 4:00,31.636,
2,5,896711,1/22/2021 5:00,31.648,
2,5,896711,1/22/2021 6:00,31.656,
2,5,896711,1/22/2021 7:00,31.662,
2,5,896711,1/22/2021 8:00,31.667,
2,5,896711,1/22/2021 9:00,31.67,
2,5,896711,1/22/2021 10:00,31.671,
2,5,896711,1/22/2021 11:00,31.671,
2,5,896711,1/22/2021 12:00,31.671,
2,5,896711,1/22/2021 13:00,31.668,
2,5,896711,1/22/2021 14:00,31.664,
2,5,896711,1/22/2021 15:00,31.659,
2,5,896711,1/22/2021 16:00,31.654,
2,5,896711,1/22/2021 17:00,31.651,
2,5,896711,1/22/2021 18:00,31.648,
2,5,896711,1/22/2021 19:00,31.645,
2,5,896711,1/22/2021 20:00,31.648,
2,5,896711,1/22/2021 21:00,31.653,
2,5,896711,1/22/2021 22:00,31.659,
2,5,896711,1/22/2021 23:00,31.667,
2,5,896711,1/23/2021 0:00,31.677,
2,5,896711,1/23/2021 1:00,31.687,
2,5,896711,1/23/2021 2:00,31.697,
2,5,896711,1/23/2021 3:00,31.705,
2,5,896711,1/23/2021 4:00,31.714,
2,5,896711,1/23/2021 5:00,31.724,
2,5,896711,1/23/2021 6:00,31.731,
2,5,896711,1/23/2021 7:00,31.734,
2,5,896711,1/23/2021 8:00,31.741,
2,5,896711,1/23/2021 9:00,31.744,
2,5,896711,1/23/2021 10:00,31.745,
2,5,896711,1/23/2021 11:00,31.742,
2,5,896711,1/23/2021 12:00,31.741,
2,5,896711,1/23/2021 13:00,31.738,
2,5,896711,1/23/2021 14:00,31.731,
2,5,896711,1/23/2021 15:00,31.727,
2,5,896711,1/23/2021 16:00,31.722,
2,5,896711,1/23/2021 17:00,31.718,
2,5,896711,1/23/2021 18:00,31.716,
2,5,896711,1/23/2021 19:00,31.714,
2,5,896711,1/23/2021 20:00,31.716,
2,5,896711,1/23/2021 21:00,31.719,
2,5,896711,1/23/2021 22:00,31.725,
2,5,896711,1/23/2021 23:00,31.734,
2,5,896711,1/24/2021 0:00,31.745,
2,5,896711,1/24/2021 1:00,31.758,
2,5,896711,1/24/2021 2:00,31.768,
2,5,896711,1/24/2021 3:00,31.781,
2,5,896711,1/24/2021 4:00,31.792,
2,5,896711,1/24/2021 5:00,31.801,
2,5,896711,1/24/2021 6:00,31.809,
2,5,896711,1/24/2021 7:00,31.815,
2,5,896711,1/24/2021 8:00,31.819,
2,5,896711,1/24/2021 9:00,31.822,
2,5,896711,1/24/2021 10:00,31.822,
2,5,896711,1/24/2021 11:00,31.822,
2,5,896711,1/24/2021 12:00,31.821,
2,5,896711,1/24/2021 13:00,31.816,
2,5,896711,1/24/2021 14:00,31.81,
2,5,896711,1/24/2021 15:00,31.804,
2,5,896711,1/24/2021 16:00,31.799,
2,5,896711,1/24/2021 17:00,31.793,
2,5,896711,1/24/2021 18:00,31.788,
2,5,896711,1/24/2021 19:00,31.785,
2,5,896711,1/24/2021 20:00,31.784,
2,5,896711,1/24/2021 21:00,31.787,
2,5,896711,1/24/2021 22:00,31.792,
2,5,896711,1/24/2021 23:00,31.798,
2,5,896711,1/25/2021 0:00,31.805,
2,5,896711,1/25/2021 1:00,31.818,
2,5,896711,1/25/2021 2:00,31.824,
2,5,896711,1/25/2021 3:00,31.835,
2,5,896711,1/25/2021 4:00,31.844,
2,5,896711,1/25/2021 5:00,31.85,
2,5,896711,1/25/2021 6:00,31.858,
2,5,896711,1/25/2021 7:00,31.863,
2,5,896711,1/25/2021 8:00,31.866,
2,5,896711,1/25/2021 9:00,31.867,
2,5,896711,1/25/2021 10:00,31.867,
2,5,896711,1/25/2021 11:00,31.866,
2,5,896711,1/25/2021 12:00,31.863,
2,5,896711,1/25/2021 13:00,31.858,
2,5,896711,1/25/2021 14:00,31.853,
2,5,896711,1/25/2021 15:00,31.849,
2,5,896711,1/25/2021 16:00,31.841,
2,5,896711,1/25/2021 17:00,31.838,
2,5,896711,1/25/2021 18:00,31.835,
2,5,896711,1/25/2021 19:00,31.833,
2,5,896711,1/25/2021 20:00,31.836,
2,5,896711,1/25/2021 21:00,31.841,
2,5,896711,1/25/2021 22:00,31.849,
2,5,896711,1/25/2021 23:00,31.86,
2,5,896711,1/26/2021 0:00,31.87,
2,5,896711,1/26/2021 1:00,31.878,
2,5,896711,1/26/2021 2:00,31.892,
2,5,896711,1/26/2021 3:00,31.904,
2,5,896711,1/26/2021 4:00,31.918,
2,5,896711,1/26/2021 5:00,31.924,
2,5,896711,1/26/2021 6:00,31.932,
2,5,896711,1/26/2021 7:00,31.938,
2,5,896711,1/26/2021 8:00,31.943,
2,5,896711,1/26/2021 9:00,31.944,
2,5,896711,1/26/2021 10:00,31.943,
2,5,896711,1/26/2021 11:00,31.941,
2,5,896711,1/26/2021 12:00,31.937,
2,5,896711,1/26/2021 13:00,31.932,
2,5,896711,1/26/2021 14:00,31.924,
2,5,896711,1/26/2021 15:00,31.915,
2,5,896711,1/26/2021 16:00,31.907,
2,5,896711,1/26/2021 17:00,31.901,
2,5,896711,1/26/2021 18:00,31.895,
2,5,896711,1/26/2021 19:00,31.89,
2,5,896711,1/26/2021 20:00,31.89,
2,5,896711,1/26/2021 21:00,31.892,
2,5,896711,1/26/2021 22:00,31.898,
2,5,896711,1/26/2021 23:00,31.904,
2,5,896711,1/27/2021 0:00,31.914,
2,5,896711,1/27/2021 1:00,31.924,
2,5,896711,1/27/2021 2:00,31.935,
2,5,896711,1/27/2021 3:00,31.944,
2,5,896711,1/27/2021 4:00,31.954,
2,5,896711,1/27/2021 5:00,31.962,
2,5,896711,1/27/2021 6:00,31.968,
2,5,896711,1/27/2021 7:00,31.975,
